"","lon","lat","lon","lat"
"1",104.3833366,52.2685014,37.412503,55.9736482
"2",0.049518,51.5048437,-4.6110967,55.5090453
"3",19.2522958,47.4384587,14.2631811,50.101791
"4",19.2522958,47.4384587,14.2631811,50.101791
"5",-74.1744624,40.6895314,-79.9270462,40.3523988
"6",-71.0095602,42.3656132,-73.7781391,40.6413111
"7",-82.5370781,27.9834776,-79.6248197,43.6777176
"8",NA,NA,NA,NA
"9",102.1684165,19.9010278,101.4007217,20.9542516
"10",-71.4252524,43.5732344,-71.1768579,44.5759027
"11",104.6992053,-2.8966716,103.6430699,-1.6328044
"12",60.8029485,56.7447746,NA,NA
"13",104.3833366,52.2685014,92.4813965,56.1767877
"14",-46.6565842,-23.6273246,-43.1648755,-22.9111438
"15",-58.5348284,-34.8150044,-64.2123198,-31.3154367
"16",75.541389,35.339444,73.0169135,33.5651107
"17",NA,NA,NA,NA
"18",92.4813965,56.1767877,82.9066012,55.0829279
"19",0.2388661,51.8860181,NA,NA
"20",-43.1648755,-22.9111438,-46.6565842,-23.6273246
"21",-8.9146911,52.6996573,-73.7781391,40.6413111
"22",135.1689898,48.5242969,142.7238546,46.8869499
"23",NA,NA,-54.5756957,48.946558
"24",-8.9146911,52.6996573,4.7682744,52.3105386
"25",-92.3979652,42.5552262,-93.3361585,43.1531118
"26",105.8041709,21.2187149,106.6588245,10.8184631
"27",-0.839332,51.322724,7.2148214,43.6597689
"28",-27.0869431,38.75388,-64.7020333,32.359829
"29",2.3652472,48.7262433,-73.7781391,40.6413111
"30",-82.6873255,41.6035797,NA,NA
"31",100.6041987,13.9132602,113.9184808,22.308047
"32",-81.8538669,41.4057985,-90.3716809,38.7522782
"33",NA,NA,-82.8871767,39.9999399
"34",96.1352618,16.9027736,92.873139,20.1348371
"35",6.1091564,46.2370097,0.049518,51.5048437
"36",-94.5902374,39.1208095,-118.3574036,34.1983122
"37",-41.9869739,-18.897291,-43.9548899,-19.8498475
"38",NA,NA,-70.3201979,-53.2535011
"39",172.5368705,-43.4863981,174.9844846,-40.9009511
"40",88.4463299,22.6520429,88.796762,25.2635257
"41",NA,NA,36.5128312,33.4112976
"42",-68.7984969,-32.8278295,-64.2123198,-31.3154367
"43",NA,NA,NA,NA
"44",12.5933595,41.8000198,31.2357116,30.0444196
"45",-97.2365461,49.9098283,-123.1815123,49.1966913
"46",35.2881528,36.9858545,28.8104425,40.9829888
"47",-106.270082,23.1670127,-100.2390663,25.8659403
"48",20.9678911,52.1672369,19.9758211,50.0797556
"49",-102.2047497,31.9417386,-94.7107786,39.2991181
"50",106.6537058,-6.1275282,103.9915308,1.3644202
"51",-111.9790706,40.7899404,-103.0605163,44.0383798
"52",-78.7295067,42.9397059,-90.3716809,38.7522782
"53",35.4912043,33.8193756,12.5933595,41.8000198
"54",14.2631811,50.101791,18.1165025,49.696961
"55",-75.5877975,6.2192058,-75.7662982,4.4528825
"56",12.5933595,41.8000198,-0.4542955,51.4700223
"57",NA,NA,-93.8286552,32.4544911
"58",24.8329753,59.4141276,30.2678391,59.8029126
"59",35.4912043,33.8193756,47.9710458,29.2404414
"60",27.971405,40.353707,26.42199,40.13762
"61",4.4855744,50.900999,8.5554755,47.4582165
"62",31.362747,30.095919,32.7014938,25.6738827
"63",79.0548173,21.0908205,80.1708668,12.994112
"64",-2.911116,43.302494,-3.5675982,40.4983322
"65",-63.5316188,-20.0220572,-65.2927825,-19.0137568
"66",39.8031772,47.2549489,36.279988,49.92183
"67",-157.9250736,21.3245132,-122.3789554,37.6213129
"68",150.9180141,59.621214,143.2034909,59.35846
"69",44.3455342,48.7857531,43.0877252,44.2177688
"70",-100.2390663,25.8659403,-99.2251794,26.5651421
"71",-73.7781391,40.6413111,-66.0979253,18.4557613
"72",-65.4784117,-24.8442303,-65.0938354,-24.3860422
"73",NA,NA,NA,NA
"74",104.3833366,52.2685014,NA,NA
"75",8.5621518,50.0379326,4.4855744,50.900999
"76",-75.0098314,40.078124,-85.7369231,38.175662
"77",32.8597419,39.9333635,43.3307521,38.4666879
"78",-105.8834368,46.4289004,NA,NA
"79",-72.6860314,41.9388735,-73.8054981,42.7487124
"80",-122.3088165,47.4502499,-87.9073214,41.9741625
"81",-121.691362,36.626614,-122.485855,47.1334474
"82",2.3652472,48.7262433,7.2148214,43.6597689
"83",-87.7521884,41.7867759,-83.5242868,42.2378031
"84",-87.7521884,41.7867759,-81.8538669,41.4057985
"85",2.437202,48.9614725,NA,NA
"86",NA,NA,94.9039424,16.5833554
"87",55.5122577,25.3284352,50.6259871,26.2697119
"88",12.5933595,41.8000198,35.4912043,33.8193756
"89",88.4463299,22.6520429,77.211126,28.5834828
"90",NA,NA,NA,NA
"91",166.647706,19.279959,-157.9250736,21.3245132
"92",NA,NA,NA,NA
"93",2.5479245,49.0096906,-17.4914579,14.7442078
"94",-43.2566293,-22.805265,-46.6565842,-23.6273246
"95",-65.4784117,-24.8442303,-64.2123198,-31.3154367
"96",102.5634402,17.9869192,106.6588245,10.8184631
"97",-70.4141429,-27.2977627,-70.7944223,-33.3897789
"98",-83.4658556,8.9544407,-83.7115101,9.3502601
"99",39.1392925,45.0334822,44.964349,41.6696083
"100",NA,NA,NA,NA
"101",4.7682744,52.3105386,2.3522219,48.856614
"102",NA,NA,92.4813965,56.1767877
"103",-96.8512063,32.8481029,-93.8286552,32.4544911
"104",-131.8172174,53.2530695,-130.3538569,54.2944314
"105",77.0999578,28.5561624,72.626571,23.0734262
"106",72.8340696,19.0980029,77.6665904,12.9503112
"107",88.4463299,22.6520429,77.211126,28.5834828
"108",37.2712341,55.599648,49.2984487,55.6085937
"109",-122.3789554,37.6213129,-122.2197428,37.7125689
"110",105.887103,21.040694,104.0337225,21.2157933
"111",-117.534812,47.6217478,-122.3018264,47.5281657
"112",-76.7794866,17.9374786,-81.3585033,19.2931436
"113",34.971707,-15.6813258,39.2069164,-6.8725389
"114",-121.9398577,38.2721187,-157.9250736,21.3245132
"115",-39.532111,-15.9692844,NA,NA
"116",-104.5189261,33.3067198,-122.2197428,37.7125689
"117",107.7006989,16.3977829,108.2025533,16.0563348
"118",77.211126,28.5834828,90.3857556,23.7705971
"119",-82.5370781,27.9834776,-90.2590112,29.9922012
"120",-7.4664015,33.5966368,-0.7103052,44.8305935
"121",-27.0869431,38.75388,-54.5756957,48.946558
"122",-1.3280892,50.8450369,-9.1353667,38.7755936
"123",9.0559675,39.2513457,12.5933595,41.8000198
"124",98.2027903,14.1001788,98.6190805,12.4476201
"125",-122.3018264,47.5281657,-104.8102739,41.1529863
"126",-0.4171726,51.5540305,-6.2193227,54.6557252
"127",12.5933595,41.8000198,NA,NA
"128",-6.2499098,53.4264481,-1.7435071,52.4523821
"129",120.5317806,18.1821053,121.6420059,18.3550839
"130",51.8763907,32.7462513,51.311241,35.6899882
"131",36.5128312,33.4112976,37.2275099,36.1845831
"132",-86.2955952,39.7168593,-84.8440753,39.7561781
"133",-64.7020333,32.359829,-82.410078,22.9915431
"134",92.0986563,58.4640571,92.4813965,56.1767877
"135",23.4071233,42.6934278,25.7128889,43.1514444
"136",12.5933595,41.8000198,35.4912043,33.8193756
"137",144.9014875,-37.7264098,151.1752764,-33.9399228
"138",-46.6565842,-23.6273246,-51.1753811,-29.9934732
"139",30.2678391,59.8029126,27.5352733,53.8711654
"140",27.5352733,53.8711654,30.2678391,59.8029126
"141",-99.0719083,19.4360762,-96.7239921,17.0013111
"142",25.8192172,-17.8252519,28.2411459,-26.1366728
"143",NA,NA,NA,NA
"144",-0.839332,51.322724,14.4832795,35.8541135
"145",NA,NA,NA,NA
"146",-50.9586457,-17.836782,-49.2163451,-16.6323026
"147",31.362747,30.095919,32.5522355,15.5927666
"148",-43.2566293,-22.805265,-58.5348284,-34.8150044
"149",14.4832795,35.8541135,20.261859,32.0836981
"150",-0.839332,51.322724,2.1932121,48.1565357
"151",-122.3789554,37.6213129,-96.8512063,32.8481029
"152",15.8552116,45.7687742,13.922265,44.897703
"153",12.5933595,41.8000198,31.3998558,30.1127092
"154",13.156667,32.669444,8.5220753,12.0456496
"155",-46.6565842,-23.6273246,-49.0531709,-22.3436866
"156",4.7682744,52.3105386,10.3675928,59.3002381
"157",NA,NA,NA,NA
"158",80.1708668,12.994112,77.211126,28.5834828
"159",-43.2566293,-22.805265,-61.339527,10.5976964
"160",8.5621518,50.0379326,13.2884374,52.5588327
"161",20.305774,44.8765011,14.4559143,46.2259433
"162",-112.0077881,33.4372686,-118.3574036,34.1983122
"163",-66.0979253,18.4557613,-73.7781391,40.6413111
"164",139.7798386,35.5493932,130.4467091,33.5903145
"165",2.437202,48.9614725,0.049518,51.5048437
"166",-3.5675982,40.4983322,-0.7103052,44.8305935
"167",120.6131128,16.3756831,NA,NA
"168",-67.0053373,10.5972583,-68.7557394,10.2786696
"169",-104.7026039,38.801712,-97.600556,35.393056
"170",-0.0064164,16.2517048,5.450833,22.811111
"171",67.1681027,24.9007815,100.6041987,13.9132602
"172",12.5933595,41.8000198,8.5621518,50.0379326
"173",7.2148214,43.6597689,2.437202,48.9614725
"174",-49.2163451,-16.6323026,-48.2309169,-18.8895413
"175",80.1708668,12.994112,79.0548173,21.0908205
"176",7.2148214,43.6597689,14.4832795,35.8541135
"177",-74.1744624,40.6895314,-80.2870509,25.7958723
"178",28.8079683,-2.3076872,15.4464454,-4.3893521
"179",-76.1101888,43.1139301,-74.1744624,40.6895314
"180",-149.8112528,61.2536352,-122.485855,47.1334474
"181",-71.0095602,42.3656132,-73.8739659,40.7769271
"182",-0.4171726,51.5540305,-6.2499098,53.4264481
"183",-81.3585033,19.2931436,-82.5465994,27.9979303
"184",NA,NA,NA,NA
"185",-79.9958864,40.4406248,-78.7295067,42.9397059
"186",129.750195,62.086467,NA,NA
"187",NA,NA,8.7255307,45.6300625
"188",44.2311592,33.267015,51.311241,35.6899882
"189",-87.9073214,41.9741625,-74.1744624,40.6895314
"190",-74.1744624,40.6895314,-82.5370781,27.9834776
"191",8.5554755,47.4582165,4.7682744,52.3105386
"192",-82.2766402,29.6863121,-82.2230207,29.1695783
"193",-98.7350079,16.8070694,-99.755607,16.762312
"194",79.0548173,21.0908205,88.4463299,22.6520429
"195",32.9916726,40.1244399,31.3998558,30.1127092
"196",82.9066012,55.0829279,73.316533,54.957801
"197",19.3908091,51.7197051,19.9758211,50.0797556
"198",140.6634789,53.149977,152.385,62.930833
"199",NA,NA,-123.2159003,44.1217811
"200",-122.2197428,37.7125689,-106.6129085,35.0433333
"201",2.3652472,48.7262433,NA,NA
"202",-89.8772182,16.9146601,NA,NA
"203",20.305774,44.8765011,21.6223532,41.963161
"204",14.4559143,46.2259433,20.291691,44.820498
"205",-128.6599094,54.050362,-123.1207375,49.2827291
"206",25.6142947,-33.9872719,31.1168871,-29.6099786
"207",49.2984487,55.6085937,60.8029485,56.7447746
"208",-99.0719083,19.4360762,-94.5779807,18.1024782
"209",NA,NA,NA,NA
"210",-43.1648755,-22.9111438,-46.6565842,-23.6273246
"211",-87.7521884,41.7867759,-84.6630165,39.0532746
"212",77.6616992,12.9556763,76.9198194,8.4834201
"213",2.8714275,42.7413357,-0.606133,35.6202476
"214",-46.6565842,-23.6273246,-43.1648755,-22.9111438
"215",-77.8451568,21.4247279,-76.7794866,17.9374786
"216",-118.40853,33.9415889,-99.0719083,19.4360762
"217",-87.9073214,41.9741625,-122.2197428,37.7125689
"218",121.6927782,63.7561788,118.354329,63.2955966
"219",-74.1744624,40.6895314,-75.2424229,39.8743959
"220",7.3230951,10.6940852,3.9750883,7.3584174
"221",-123.1815123,49.1966913,-149.8112528,61.2536352
"222",-74.1744624,40.6895314,-80.2870509,25.7958723
