Type,Term,Country,Engines,first.flight,Service.entry,End.of.production,numbers.built,in.service,status
Airbus A220,Airbus A221,Canada,2,2013,2016,,49,39,in production
Airbus A320,Airbus A319,Europe,2,1986,1987,,"8,731",7465,in production
Airbus A320,Airbus A320,Europe,2,1986,1987,,"8,731",7465,in production
Airbus A320,Airbus A322,Europe,2,1986,1987,,"8,731",7465,in production
Airbus A330,Airbus A330,Europe,2,1992,1994,,"1,444",1265,in production
Airbus A350,Airbus A350,Europe,2,2013,2014,,257,185,in production
Airbus A380,Airbus A380,Europe,4,2005,2007,,235,223,in production
Antonov An-148,An-148,Ukraine,2,2004,2009,,35,7,in production
Antonov An-148,An-159,Ukraine,2,2004,2009,,35,7,in production
Boeing 737,Boeing 737,USA,2,1967,1968,,"10,162",7310,in production
Boeing 747,Boeing 747,USA,4,1969,1970,,"1,546",462,in production
Boeing 767,Boeing 767,USA,2,1981,1982,,"1,116",742,in production
Boeing 777,Boeing 777,USA,2,1994,1995,,"1,559",1416,in production
Boeing 787,Boeing 787,USA,2,2009,2011,,716,675,in production
Bombardier CRJ700,CRJ700,Canada,2,1999,2001,,822,777,in production
Bombardier CRJ700,CRJ705,Canada,2,1999,2001,,822,777,in production
Bombardier CRJ700,CRJ900,Canada,2,1999,2001,,822,777,in production
Bombardier CRJ700,CRJ1001,Canada,2,1999,2001,,822,777,in production
Comac ARJ21,ARJ2,China,2,2008,2015,,6,5,in production
Embraer ERJ 135,Embraer ERJ 135,Brazil,2,1995,1996,,"1,213",505,in production
Embraer ERJ 135,Embraer ERJ 140,Brazil,2,1995,1996,,"1,213",505,in production
Embraer ERJ 135,Embraer ERJ 145,Brazil,2,1995,1996,,"1,213",505,in production
Embraer E-170,Embraer E-170,Brazil,2,2002,2004,,"1,414",1346,in production
Embraer E-170,Embraer E-175,Brazil,2,2002,2004,,"1,414",1346,in production
Embraer E-170,Embraer E-190,Brazil,2,2002,2004,,"1,414",1346,in production
Embraer E-170,Embraer E-195,Brazil,2,2002,2004,,"1,414",1346,in production
Ilyushin Il-96,Il-96,USSR,4,1988,1992,,30,4,in production
Sukhoi Superjet SSJ100,SSJ100,Russia,2,2008,2011,,169,114,in production
Tupolev Tu-204,Tu-204,USSR,2,1989,1996,,85,17,in production
Tupolev Tu-204,Tu-214,USSR,2,1989,1996,,85,17,in production
Yakovlev Yak-40,Yak-40,USSR,3,1966,1968,1981,"1,011",22,out of production
Yakovlev Yak-42,Yak-42,USSR,3,1975,1980,2003,185,23,out of production
Tupolev Tu-134,Tu-134,USSR,2,1963,1967,1984,854,6,out of production
Tupolev Tu-154,Tu-154,USSR,3,1968,1972,2013,"1,026",10,out of production
McDonnell Douglas DC-9,DC-9,USA,2,1965,1965,1982,976,30,out of production
McDonnell Douglas MD-80,MD-80,USA [e],2,1979,1980,1999,"1,191",298,out of production
McDonnell Douglas DC-10,DC-10,USA,3,1970,1971,1988,386,39,out of production
McDonnell Douglas DC-10,MD-10,USA,3,1970,1971,1988,386,39,out of production
McDonnell Douglas MD-11,MD-11,USA,3,1990,1990,2000,200,121,out of production
McDonnell Douglas MD-90,MD-90,USA [f],2,1993,1995,2000,116,53,out of production
Fairchild-Dornier 328JET,Fairchild-Dornier 328JET,Germany,2,1998,1999,2002,110,11,out of production
Fokker F28 Fellowship,Fokker F28 Fellowship,Netherlands,2,1967,1969,1987,241,1,out of production
Fokker 70,Fokker 70,Netherlands,2,1993,1994,1997,48,23,out of production
Fokker 100,Fokker 100,Netherlands,2,1986,1988,1997,283,109,out of production
Ilyushin Il-62,Ilyushin Il-62,USSR,4,1963,1967,1995,292,6,out of production
Douglas DC-8,DC-8,USA,4,1958,1959,1972,556,1,out of production
British Aerospace BAe146,BAe146,UK,4,1981,1983,2001,387,118,out of production
British Aerospace BAe146,Avro RJ,UK,4,1981,1983,2001,387,118,out of production
Bombardier CRJ100,CRJ100,Canada,2,1991,1992,2006,"1,021",498,out of production
Bombardier CRJ100,CRJ200,Canada,2,1991,1992,2006,"1,021",498,out of production
Bombardier CRJ100,CRJ440,Canada,2,1991,1992,2006,"1,021",498,out of production
Boeing 757,Boeing 757,USA,2,1982,1983,2004,"1,050",666,out of production
Boeing 717,Boeing 717,USA,2,1997,1999,2006,156,148,out of production
Boeing 727,Boeing 727,USA,3,1963,1964,1984,"1,832",44,out of production
Airbus A300,Airbus A300,Europe,2,1972,1974,2007,561,212,out of production
Airbus A310,Airbus A310,Europe,2,1982,1983,1998,255,31,out of production
Airbus A318,Airbus A318,Europe,2,2002,2003,2013,80,41,out of production
Airbus A340,Airbus A340,Europe,4,1991,1993,2011,377,159,out of production
VFW-Fokker 614,VFW-Fokker 614,Germany,2,1971,1975,1978,19,0,retired
Vickers VC10,Vickers VC10,UK,4,1962,1964,1970,54,0,retired
Tupolev Tu-334,Tu-334,Russia,2,1999,cancelled,2009,2,0,retired
Tupolev Tu-104,Tu-104,USSR,2,1955,1956,1960,201,0,retired
Tupolev Tu-110,Tu-110,USSR,4,1957,cancelled,1957,4,0,retired
Tupolev Tu-124,Tu-124,USSR,2,1960,1962,1965,164,0,retired
Tupolev Tu-144,Tu-144,USSR,4,1968,1977,1983,16,0,retired
Shanghai Y-10,Shanghai Y-10,China,4,1980,cancelled,1980,3,0,retired
Sud Aviation SE-210 Caravelle,Sud Aviation SE-210,France,2,1955,1959,1973,282,0,retired
Lockheed TriStar,TriStar,USA,3,1970,1972,1984,250,0,retired
Ilyushin Il-86,Il-86,USSR,4,1976,1980,1995,106,0,retired
Hawker Siddeley HS121 Trident,Hawker Siddeley HS121,UK,3,1962,1964,1978,117,0,retired
Convair 880,Convair 880,USA,4,1959,1960,1962,65,0,retired
Convair 990 Coronado,Convair 990,USA,4,1961,1962,1963,37,0,retired
Dassault Mercure 100,Dassault Mercure 100,France,2,1971,1974,1975,12,0,retired
de Havilland DH 106 Comet,de Havilland DH 106,UK,4,1949,1952,1964,112,0,retired
Boeing 720,Boeing 720,USA,4,1959,1960,1967,154,0,retired
Avro Canada C102 Jetliner,Avro Canada C102,Canada,4,1949,cancelled,1949,1,0,retired
Baade 152,Baade 152,East Germany,4,1958,cancelled,1961,3,0,retired
BAC One-Eleven,BAC One-Eleven,UK [i],2,1963,1965,1989,244,0,retired
Rombac 1-11,Rombac 1-11,Romania [j],2,1982,1983,1993,9,0,retired
Boeing 707,Boeing 707,USA,4,1957,1958,1979,"1,010",0,retired
Concorde,Concorde,France,4,1969,1976,1979,20,0,retired
Douglas DC-3,DC-3,,,,,,,,
Douglas DC-4,DC-4,,,,,,,,
Douglas DC-6,DC-6,,,,,,,,
Lockheed Constellation,Constellation,,,,,,,,
Lockheed Lodestar,Lodestar,,,,,,,,
