"","Date","Location / Operator","Aircraft Type / Registration","Fatalities","year","month","day"
"1","17 Sep 1908","Fort Myer, VirginiaMilitary - U.S. Army","Wright Flyer III?","1/2(0)","1908","Sep","17"
"2","07 Sep 1909","Juvisy-sur-Orge, France?","Wright ByplaneSC1","1/1(0)","1909","Sep","07"
"3","12 Jul 1912","Atlantic City, New JerseyMilitary - U.S. Navy","Dirigible?","5/5(0)","1912","Jul","12"
"4","06 Aug 1913","Victoria, British Columbia, CanadaPrivate","Curtiss seaplane?","1/1(0)","1913","Aug","06"
"5","09 Sep 1913","Over the North SeaMilitary - German Navy","Zeppelin L-1 (airship)?","14/20(0)","1913","Sep","09"
"6","17 Oct 1913","Near Johannisthal, GermanyMilitary - German Navy","Zeppelin L-2 (airship)?","30/30(0)","1913","Oct","17"
"7","05 Mar 1915","Tienen, BelgiumMilitary - German Navy","Zeppelin L-8 (airship)?","21/41(0)","1915","Mar","05"
"8","03 Sep 1915","Off Cuxhaven, GermanyMilitary - German Navy","Zeppelin L-10 (airship)?","19/19(0)","1915","Sep","03"
"9","28 Jul 1916","Near Jambol, BulgeriaMilitary - German Army","Schutte-Lanz S-L-10 (airship)?","20/20(0)","1916","Jul","28"
"10","24 Sep 1916","Billericay, EnglandMilitary - German Navy","Zeppelin L-32 (airship)?","22/22(0)","1916","Sep","24"
"11","01 Oct 1916","Potters Bar, EnglandMilitary - German Navy","Zeppelin L-31 (airship)?","19/19(0)","1916","Oct","01"
"12","21 Nov 1916","Mainz, GermanyMilitary - German Army","Super Zeppelin (airship)?","27/28(0)","1916","Nov","21"
"13","28 Nov 1916","Off West Hartlepool, EnglandMilitary - German Navy","Zeppelin L-34 (airship)?","20/20(0)","1916","Nov","28"
"14","04 Mar 1917","Near Gent, BelgiumMilitary - German Army","Airship?","20/20(0)","1917","Mar","04"
"15","30 Mar 1917","Off Northern GermanyMilitary - German Navy","Schutte-Lanz S-L-9 (airship)?","23/23(0)","1917","Mar","30"
"16","14 May 1917","Near Texel Island, North SeaMilitary - German Navy","Zeppelin L-22 (airship)?","21/21(0)","1917","May","14"
"17","14 Jun 1917","Off Vlieland Island, North SeaMilitary - German Navy","Zeppelin L-43 (airship)?","24/24(0)","1917","Jun","14"
"18","17 Jun 1917","Near Yarmouth, England?","Zepplin LZ-95 (air ship)L-48","14/16(0)","1917","Jun","17"
"19","21 Aug 1917","Off western DenmarkMilitary - German Navy","Zeppelin L-23 (airship)?","18/18(0)","1917","Aug","21"
"20","20 Oct 1917","Near Luneville, FranceMilitary - German Navy","Zeppelin L-44 (airship)?","18/18(0)","1917","Oct","20"
"21","07 Apr 1918","Over the MediterraneanMilitary - German Navy","Zeppelin L-59 (airship)?","23/23(0)","1918","Apr","07"
"22","10 May 1918","Off Helgoland Island, GermanyMilitary - German Navy","Zeppelin L-70 (airship)?","22/22(0)","1918","May","10"
"23","11 Aug 1918","Ameland Island, North SeaMilitary - German Navy","Zeppelin L-53 (airship)?","19/19(0)","1918","Aug","11"
"24","16 Dec 1918","Elizabeth, New JerseyUS Aerial Mail Service","De Havilland DH-497","1/1(0)","1918","Dec","16"
"25","25 May 1919","Cleveland, OhioUS Aerial Mail Service","De Havilland DH-461","1/1(0)","1919","May","25"
"26","19 Jul 1919","Dix Run, PennsylvaniaUS Aerial Mail Service","De Havilland DH-482","1/1(0)","1919","Jul","19"
"27","21 Jul 1919","Chicago, IllinoisWingfoot Air Express Goodyear Tire","FD Type Dirigible?","3/?(10)","1919","Jul","21"
"28","02 Aug 1919","Verona, ItalyCaproni Company","Caproni Ca.48?","14/14(0)","1919","Aug","02"
"29","02 Oct 1919","Newcastle, EnglandAircraft Transport and Travel","De Havilland DH-4?","1/1(0)","1919","Oct","02"
"30","14 Oct 1919","Cantonsville, MarylandUS Aerial Mail Service","Curtiss R-4LM32","1/1(0)","1919","Oct","14"
"31","20 Oct 1919","English Channel off Forkstone, KentAircraft Transport and Travel","De Havilland DH-4G-EAHG","0/0(0)","1919","Oct","20"
"32","30 Oct 1919","Long Valley, New JerseyUS Aerial Mail Service","De Havilland DH.477","1/1(0)","1919","Oct","30"
"33","11 Dec 1919","Catherham, Surrey, UKAircraft Travel Transport","de Havilland DH-4G-EAHF","1/1(0)","1919","Dec","11"
"34","10 Mar 1920","New Paris, IndianaUS Aerial Mail Service","De Havilland DH-465","1/1(0)","1920","Mar","10"
"35","30 Mar 1920","Newark, New JerseyUS Aerial Mail Service","De Havilland DH-472","1/1(0)","1920","Mar","30"
"36","10 Apr 1920","Newark, New JerseyUS Aerial Mail Service","Curtiss R-4LM49","1/2(0)","1920","Apr","10"
"37","11 Apr 1920","Heller Field, New JerseyUS Aerial Mail Service","Curtiss JN-4H44","1/2(0)","1920","Apr","11"
"38","12 May 1920","Oskaloosa, IowaUS Aerial Mail Service","De Havilland DH-479","1/2(0)","1920","May","12"
